TransactionID,Books
1,"Eragon, LOTR, Hobbit, Divergent"
2,"Narnia, Eragon, Harry Potter, Percy Jackson"
3,"Twilight, LOTR, Narnia"
4,"Maze Runner, Harry Potter"
5,"Divergent, Twilight"
6,"Twilight, Harry Potter, Maze Runner"
7,"Harry Potter, Twilight, Divergent, Maze Runner, Hobbit"
8,"Eragon, Game of Thrones, Twilight"
9,"Narnia, Eragon"
10,"Eragon, Hobbit, Percy Jackson, Maze Runner"
11,"Eragon, Maze Runner, Percy Jackson, Twilight"
12,"Twilight, Percy Jackson, Eragon, Hobbit, Maze Runner"
13,"Harry Potter, Game of Thrones, LOTR, Percy Jackson, Twilight"
14,"Game of Thrones, Hobbit, Maze Runner, Narnia, Eragon"
15,"Divergent, Hobbit, Harry Potter, LOTR, Percy Jackson"
16,"Eragon, Maze Runner"
17,"LOTR, Hobbit"
18,"Narnia, Hobbit"
19,"Twilight, Hobbit, Eragon"
20,"LOTR, Twilight"
21,"Divergent, Maze Runner, Twilight, LOTR, Game of Thrones"
22,"Harry Potter, Percy Jackson"
23,"Hobbit, Narnia, Maze Runner"
24,"Eragon, Game of Thrones"
25,"Harry Potter, Twilight"
26,"Divergent, Twilight, Eragon, Game of Thrones, Percy Jackson"
27,"Narnia, Eragon, Percy Jackson, Harry Potter, Divergent"
28,"Maze Runner, Hobbit, Eragon"
29,"Harry Potter, Divergent"
30,"Maze Runner, Game of Thrones, Divergent"
31,"Eragon, LOTR"
32,"Narnia, Game of Thrones, LOTR, Harry Potter"
33,"Divergent, Game of Thrones"
34,"Percy Jackson, Twilight, Maze Runner, Eragon"
35,"Eragon, Divergent, Twilight, LOTR, Hobbit"
36,"Maze Runner, Percy Jackson, Game of Thrones, Narnia"
37,"Maze Runner, Percy Jackson, Narnia"
38,"Narnia, Twilight, Harry Potter"
39,"Hobbit, Percy Jackson, Narnia"
40,"Maze Runner, Harry Potter, Eragon, Game of Thrones, Narnia"
41,"LOTR, Hobbit, Maze Runner, Narnia, Eragon"
42,"Narnia, Divergent, Twilight"
43,"Percy Jackson, Twilight, Divergent, Game of Thrones"
44,"Maze Runner, Divergent, Hobbit, LOTR"
45,"Divergent, Hobbit"
46,"Eragon, Twilight, LOTR, Hobbit"
47,"Narnia, Percy Jackson, Game of Thrones, LOTR"
48,"Harry Potter, Game of Thrones, Twilight, Narnia, Percy Jackson"
49,"LOTR, Eragon, Game of Thrones, Percy Jackson"
50,"Eragon, Narnia, LOTR"
51,"Harry Potter, Twilight, LOTR"
52,"Harry Potter, Twilight, Narnia"
53,"Percy Jackson, Harry Potter"
54,"Percy Jackson, Maze Runner, Harry Potter, Hobbit, LOTR"
55,"LOTR, Game of Thrones, Percy Jackson"
56,"Narnia, Divergent, Maze Runner"
57,"LOTR, Hobbit"
58,"Narnia, Eragon, Hobbit, Divergent, Game of Thrones"
59,"Harry Potter, Percy Jackson, Eragon"
60,"Hobbit, Game of Thrones"
61,"Harry Potter, Narnia"
62,"Percy Jackson, Harry Potter, Hobbit, Eragon, Twilight"
63,"Maze Runner, Game of Thrones"
64,"Game of Thrones, Percy Jackson, Eragon, Twilight"
65,"Eragon, LOTR, Divergent, Narnia"
66,"Narnia, Harry Potter"
67,"Hobbit, Maze Runner, Divergent, Narnia, Game of Thrones"
68,"Hobbit, Maze Runner, Narnia, Game of Thrones, Twilight"
69,"Divergent, Harry Potter, Hobbit, Narnia, Percy Jackson"
70,"Game of Thrones, Divergent, Twilight, Hobbit"
71,"Percy Jackson, Maze Runner"
72,"Narnia, Maze Runner, Divergent"
73,"Twilight, Narnia, Maze Runner, Percy Jackson, Eragon"
74,"Twilight, Percy Jackson"
75,"Twilight, Game of Thrones, Narnia, LOTR, Eragon"
76,"Eragon, Twilight, LOTR, Harry Potter"
77,"Hobbit, Twilight"
78,"Eragon, Narnia, Harry Potter"
79,"Narnia, Game of Thrones, LOTR, Percy Jackson, Eragon"
80,"Eragon, Maze Runner"
81,"Percy Jackson, Maze Runner, Eragon, LOTR, Game of Thrones"
82,"Twilight, LOTR, Narnia, Maze Runner"
83,"LOTR, Harry Potter, Narnia"
84,"Harry Potter, Narnia, Maze Runner"
85,"Divergent, LOTR, Game of Thrones"
86,"Divergent, Eragon, Maze Runner, Game of Thrones"
87,"Hobbit, Game of Thrones, LOTR, Harry Potter"
88,"Eragon, Divergent, Percy Jackson, Maze Runner, Harry Potter"
89,"Game of Thrones, Harry Potter, Narnia"
90,"Divergent, Maze Runner, Percy Jackson, Eragon"
91,"LOTR, Percy Jackson"
92,"LOTR, Eragon, Harry Potter, Hobbit"
93,"Twilight, Eragon"
94,"Harry Potter, Divergent"
95,"Narnia, Hobbit, Game of Thrones, Divergent"
96,"Game of Thrones, Twilight, Narnia"
97,"Narnia, Hobbit, Harry Potter"
98,"Hobbit, Game of Thrones"
99,"Maze Runner, Hobbit"
100,"Narnia, Harry Potter"
