TransactionID,Books
1,"Game of Thrones, Divergent, LOTR"
2,"Harry Potter, Divergent, Game of Thrones, Percy Jackson, Hobbit"
3,"Harry Potter, Eragon"
4,"Hobbit, Twilight, Narnia, Maze Runner"
5,"Divergent, Game of Thrones, Narnia, Harry Potter"
6,"Hobbit, Percy Jackson, Harry Potter"
7,"Maze Runner, Eragon, Twilight"
8,"Narnia, Hobbit, Divergent, Twilight, Percy Jackson"
9,"Maze Runner, Eragon, Divergent"
10,"Game of Thrones, Eragon, Percy Jackson, Narnia"
11,"Twilight, Hobbit, Harry Potter"
12,"Divergent, Narnia, Eragon, Hobbit"
13,"Eragon, Narnia, Hobbit"
14,"Percy Jackson, Twilight, LOTR, Maze Runner, Eragon"
15,"Percy Jackson, Hobbit"
16,"Game of Thrones, Divergent, Narnia, Hobbit, Percy Jackson"
17,"Twilight, Narnia, Percy Jackson"
18,"Narnia, LOTR, Hobbit, Divergent"
19,"LOTR, Twilight, Harry Potter"
20,"Harry Potter, Percy Jackson, Hobbit, Game of Thrones, LOTR"
21,"Maze Runner, Narnia, Twilight, Harry Potter"
22,"Twilight, Divergent, Harry Potter, Game of Thrones"
23,"Harry Potter, Divergent, Game of Thrones, Hobbit"
24,"LOTR, Divergent, Maze Runner, Hobbit"
25,"Twilight, Hobbit, Divergent, Percy Jackson"
26,"LOTR, Percy Jackson, Divergent, Maze Runner, Twilight"
27,"Game of Thrones, Maze Runner, Divergent"
28,"Narnia, Twilight"
29,"Eragon, Game of Thrones, Harry Potter, Percy Jackson, Narnia"
30,"Eragon, Hobbit, Harry Potter, Maze Runner, Narnia"
31,"Twilight, Maze Runner, Percy Jackson"
32,"Divergent, Harry Potter"
33,"Narnia, LOTR, Harry Potter, Divergent"
34,"Game of Thrones, Eragon, Maze Runner"
35,"Percy Jackson, Twilight, Divergent, Narnia, Harry Potter"
36,"Maze Runner, Harry Potter, Twilight, Eragon"
37,"Divergent, Percy Jackson, Game of Thrones, LOTR, Maze Runner"
38,"Game of Thrones, Divergent, LOTR, Narnia"
39,"Percy Jackson, Harry Potter, Eragon"
40,"Game of Thrones, Twilight, Maze Runner, Eragon"
41,"Divergent, Game of Thrones"
42,"Maze Runner, Narnia, Divergent, Twilight"
43,"LOTR, Twilight, Percy Jackson, Narnia, Harry Potter"
44,"Eragon, Divergent, Narnia, Harry Potter"
45,"Narnia, Twilight, Harry Potter"
46,"Maze Runner, Harry Potter, Divergent, Eragon"
47,"LOTR, Divergent, Narnia, Maze Runner, Twilight"
48,"Game of Thrones, Harry Potter, Eragon, Percy Jackson, Maze Runner"
49,"Hobbit, Twilight, Narnia"
50,"Harry Potter, Hobbit, Narnia, Divergent, LOTR"
51,"Maze Runner, Divergent"
52,"Game of Thrones, Hobbit, LOTR, Percy Jackson, Maze Runner"
53,"Twilight, Percy Jackson, Divergent"
54,"Percy Jackson, Divergent"
55,"Percy Jackson, Hobbit"
56,"Eragon, Harry Potter, Twilight, Divergent"
57,"Divergent, LOTR"
58,"Narnia, Percy Jackson, Maze Runner"
59,"Divergent, Hobbit, Twilight, Eragon, Maze Runner"
60,"Game of Thrones, LOTR, Maze Runner"
61,"LOTR, Hobbit, Narnia"
62,"Twilight, Narnia"
63,"Game of Thrones, Hobbit, Eragon, LOTR, Harry Potter"
64,"Game of Thrones, LOTR, Eragon, Maze Runner"
65,"Harry Potter, Twilight, Divergent"
66,"LOTR, Percy Jackson"
67,"Narnia, Divergent, Maze Runner, Game of Thrones"
68,"Eragon, Hobbit"
69,"Percy Jackson, Divergent, Maze Runner, Eragon, LOTR"
70,"Game of Thrones, Divergent, Eragon, Hobbit, Narnia"
71,"Twilight, Eragon, Percy Jackson, Divergent, LOTR"
72,"Eragon, Harry Potter, Twilight, Divergent, Hobbit"
73,"Hobbit, Eragon, Percy Jackson, Harry Potter, LOTR"
74,"LOTR, Percy Jackson, Hobbit"
75,"Game of Thrones, Twilight, Harry Potter"
76,"Maze Runner, Percy Jackson, LOTR, Divergent, Harry Potter"
77,"LOTR, Hobbit, Game of Thrones, Harry Potter"
78,"Harry Potter, Percy Jackson, Hobbit"
79,"Harry Potter, Hobbit, Divergent, Narnia, Twilight"
80,"Hobbit, Harry Potter, Eragon"
81,"Maze Runner, Narnia"
82,"Hobbit, Game of Thrones"
83,"Maze Runner, Eragon, Percy Jackson, LOTR"
84,"Maze Runner, Twilight"
85,"Narnia, Twilight, Divergent, Hobbit"
86,"Eragon, Narnia, Divergent, Harry Potter"
87,"LOTR, Divergent, Game of Thrones"
88,"Game of Thrones, Narnia"
89,"Harry Potter, Maze Runner"
90,"Narnia, Twilight, Game of Thrones, Percy Jackson"
91,"LOTR, Divergent"
92,"Game of Thrones, Narnia, Eragon, Harry Potter"
93,"Narnia, Harry Potter, LOTR"
94,"Game of Thrones, Eragon"
95,"Percy Jackson, Twilight, Eragon, Maze Runner, Hobbit"
96,"Divergent, Harry Potter, Twilight"
97,"Harry Potter, Twilight, Game of Thrones, Maze Runner"
98,"Divergent, Game of Thrones, Percy Jackson, Harry Potter"
99,"LOTR, Narnia, Maze Runner"
100,"LOTR, Percy Jackson, Hobbit, Twilight, Narnia"
